time,shoulder_pan_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_lift_joint,end_mill_joint
1754933386.5338686,-1.1935548036023924e-14,-9.271660587721609e-14,5.4112530428751526e-14,-9.773432063653331e-14,9.768618206007496e-14,4.9547171920849564e-14,7.16614267926019e-14
1754933386.541354,-1.1935548036023924e-14,-9.27164161418359e-14,5.4117734599179457e-14,-9.773345327479532e-14,9.768618206007496e-14,4.9547171920849564e-14,7.16614267926019e-14
1754933386.5510387,-4.336808689942018e-19,3.609389612820209e-11,-7.49336868596795e-11,-1.1639605945745757e-11,-3.0357660829594124e-18,3.153990957294184e-11,7.167703930388569e-14
1754933386.561208,-0.0001355031748670472,2.4825890224098397e-05,-9.755650171285046e-06,-1.0482750084639392e-11,-0.00013550317486731977,-1.507024662992032e-05,7.168571292126558e-14
1754933386.5712726,-0.0009624700729587998,0.00017680487726371908,-6.952212416339509e-05,-9.42137340365079e-12,-0.000962470072951597,-0.00010728275902139456,7.16839781977896e-14
1754933386.5812254,-0.0028467563571446565,0.0005243919548106283,-0.0002063357417715966,-8.433246288797047e-12,-0.002846756357113469,-0.0003180562183652154,7.149489333890813e-14
1754933386.5915384,-0.005877622598418902,0.0010857453493338474,-0.0004275043014101438,-7.478394639659491e-12,-0.005877622598343337,-0.000658241052713008,7.075937058509396e-14
1754933386.6014507,-0.009955397713588015,0.001844118407273853,-0.000726591641416429,-6.561251542080981e-12,-0.009955397713434807,-0.0011175267701801182,6.893444148836636e-14
1754933386.6115427,-0.014870376059185378,0.0027617122610390523,-0.001088803677728204,-5.679593947927053e-12,-0.014870376058929134,-0.0016729085872095525,6.557601683887526e-14
1754933386.6214747,-0.020373824815987717,0.0037921432283942592,-0.001495835837834436,-4.846760146004492e-12,-0.02037382481561866,-0.0022963073940750825,6.028857968409795e-14
1754933386.6315627,-0.026241890635088472,0.0048916634719134945,-0.0019302357513440544,-4.069365504288935e-12,-0.026241890634606156,-0.0029614277237284964,5.2747736734026773e-14
1754933386.641861,-0.03233311561936004,0.006029259592463447,-0.0023793296714482966,-3.356309154212145e-12,-0.03233311561875802,-0.0036499299238641064,4.2939610200853906e-14
1754933386.6516042,-0.038640201706768816,0.007195741363359992,-0.002838756254263424,-2.700949706946343e-12,-0.03864020170607964,-0.004356985111692718,3.067511522569788e-14
1754933386.6618607,-0.04527609265896354,0.008402286582294954,-0.0033119989970411237,-2.0810549464234107e-12,-0.04527609265818129,-0.005090287587610057,1.5399140296246117e-14
1754933386.671875,-0.05224842652974532,0.009644404971607515,-0.0037967300010897953,-1.5010848467000848e-12,-0.05224842652887944,-0.005847674972648004,-3.2595454113604205e-15
1754933386.6820788,-0.05952356995086784,0.010911069757852207,-0.0042881517204623465,-9.432715025736726e-13,-0.05952356994991934,-0.006622918039320511,-2.5675642167932722e-14
1754933386.6921716,-0.06707124939143483,0.012191680028072641,-0.004781616990614437,-4.25362869926893e-13,-0.06707124939041244,-0.007410063039221069,-5.1909865295129975e-14
1754933386.7025876,-0.07486421550732125,0.013476038881687134,-0.005272623879634386,7.036992516473717e-14,-0.07486421550622223,-0.008203415003659727,-8.230048587076766e-14
1754933386.7125158,-0.08287794105562599,0.014754333767028907,-0.005756811054284244,5.48398999822286e-13,-0.08287794105446554,-0.008997522714219799,-1.1712679437447804e-13
